device,tid,sid,group,id,address,read_address,address_mpxa,address_mpxd,address_width,address_taw,address_tbb,read_address_mpxa,read_address_mpxd,read_address_width,type,len,factor,offset,unit,signed,min,max,persistent,protect,volatile,since,until,description
console,0x48,0x58,rev,sw,,0xa3,,,,,,,,,count,,,,,,,,,,,,,
console,0x48,0x58,rev,sub,,0xad,,,,,,,,,count,,,,,,,,,,,rev.sw count 59,,
console,0x48,0x58,rev,hw,,0xd0,,,,,,,,,enum,,,,,,,,,,,rev.sw count 46,,
console,0x48,0x58,sn,pn,0x75 0x76,,,,,,,,,,count,,,,,,,,yes,,,,,
console,0x48,0x58,sn,location,0x71,,,,,,,,,,string,1,,,,,,,yes,,,,,
console,0x48,0x58,sn,year,0x72,,,,,,,,,,count,,,,,,,,yes,,,,,
console,0x48,0x58,sn,month,0x73,,,,,,,,,,count,,,,,,,,yes,,,,,
console,0x48,0x58,sn,day,0x74,,,,,,,,,,count,,,,,,,,yes,,,,,
console,0x48,0x58,sn,item,0x77 0x78,,,,,,,,,,count,,,,,,,,yes,,,,,
console,0x48,0x58,sn,oem,0xbd 0xbe,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 43,,
console,0x48,0x58,sn,product,0xc1 0xc2,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 43,,
console,0x48,0x58,sn,type,0xa7,,,,,,,,,,enum,,,,,,,,yes,,,,,"Type of console: 0-EPS, 1-RIDE+, 2-Boost."
console,0x48,0x58,geometry,circ,0x81 0x82,,,,,,,,,,scalar,,1,,mm,,,,yes,,,,,Circumference of the rear wheel.
console,0x48,0x58,config,testMode,0xc5,,,,,,,,,,enum,,,,,,,,,,,rev.sw count 56 rev.hw enum 12,rev.hw enum 12,Writing a 1 to this register allows setting the console in test mode to test the LCD and buttons.
console,0x48,0x58,config,testMode,0xc3,,,,,,,,,,enum,,,,,,,,,,,rev.sw count 56 rev.hw enum 14,rev.hw enum 14,Writing a 1 to this register allows setting the console in test mode to test the LCD and buttons.
console,0x48,0x58,config,testMode,0xc5,,,,,,,,,,enum,,,,,,,,,,,rev.sw count 56 rev.hw enum 15,,Writing a 1 to this register allows setting the console in test mode to test the LCD and buttons.
console,0x48,0x58,config,serviceTimestamp,0xd9 0xda,,,,,,,,,,count,,,,,,,,yes,,,rev.sw count 60 rev.hw enum 15,,"Day, in battery-relative value, from which console displays ""service"". 0 to disable the feature."
console,0x48,0x58,config,serviceDistance,0xdb 0xdc,,,,,,,,,,scalar,,,,km/h,,,,yes,,,rev.sw count 60 rev.hw enum 15,,"Odometer value, from which console displays ""service"". 0 to disable the feature."
console,0x48,0x58,config,lastMode,0xc7,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 62 rev.hw enum 15,rev.hw enum 15,"Writing 255 will disable the last mode on display power on, 0 will enable the last mode on display power on"
console,0x48,0x58,config,limitThreshold,0xd5,,,,,,,,,,scalar,,,,,,,,yes,,,rev.sw count 58 rev.hw enum 22,rev.hw enum 22,Boat related
console,0x48,0x58,config,limitSlope,0xd6,,,,,,,,,,scalar,,,,,,,,yes,,,rev.sw count 58 rev.hw enum 22,rev.hw enum 22,Boat related
console,0x48,0x58,status,slave,0xd1,,,,,,,,,,enum,,,,,,,,,,yes,rev.sw count 48,,Writing a 1 to this register allows going imemdiatly in slave mode.
console,0x48,0x58,assist,maxSpeedFlag,0x83,,,,,,,,,,enum,,,,,,0,1,yes,,,,,Indicates that there is an upper speed limit where the motor is allowed to assist.
console,0x48,0x58,assist,maxSpeed,0x84 0x85,,,,,,,,,,scalar,,0.1,,km/h,,,,yes,,,,,Maximum speed for which the motor can assist. This is irrelevant if maxSpeedFlag is not set.
console,0x48,0x58,assist,minSpeedFlag,0x89,,,,,,,,,,enum,,,,,,0,1,yes,,,,,
console,0x48,0x58,assist,minSpeed,0x8a,,,,,,,,,,scalar,,0.1,,km/h,,,,yes,,,,,
console,0x48,0x58,assist,brakeLevel,0x8b,,,,,,,,,,scalar,,1.5625,,%,,0,64,yes,,,,,
console,0x48,0x58,assist,brakeFlag,0xa0,,,,,,,,,,enum,,,,,,0,1,yes,,,,,
console,0x48,0x58,assist,autoregenFlag,0xab,,,,,,,,,,enum,,,,,,0,1,yes,,,rev.sw count 50,,
console,0x48,0x58,assist,brakePolarity,0xa1,,,,,,,,,,enum,,,,,,0,3,yes,,,,,
console,0x48,0x58,assist,gaugeFilter,0xa2,,,,,,,,,,enum,,,,,,1,5,yes,,,,,
console,0x48,0x58,assist,gaugeGain,0xa4,,,,,,,,,,scalar,,0.1,,,,,,yes,,,,,
console,0x48,0x58,assist,gainA,0xa5,,,,,,,,,,scalar,,0.1,,,,,,yes,,,,,
console,0x48,0x58,assist,gainB,0xa6,,,,,,,,,,scalar,,0.1,,,,,,yes,,,,,
console,0x48,0x58,assist,gaugeJoint,0x7a,,,,,,,,,,scalar,,,,,,0,11,,,,rev.sw count 39,,
console,0x48,0x58,assist,level1,0xb0,,,,,,,,,,scalar,,1.5625,,%,,0,1,yes,,,rev.sw count 42,,
console,0x48,0x58,assist,level2,0xb1,,,,,,,,,,scalar,,1.5625,,%,,0,1,yes,,,rev.sw count 42,,
console,0x48,0x58,assist,level3,0xb2,,,,,,,,,,scalar,,1.5625,,%,,0,1,yes,,,rev.sw count 42,,
console,0x48,0x58,assist,level4,0xb3,,,,,,,,,,scalar,,1.5625,,%,,0,1,yes,,,rev.sw count 42,,
console,0x48,0x58,assist,levelR1,0xde,,,,,,,,,,scalar,,1.5625,,%,,0,1,,,,rev.sw count 60,,
console,0x48,0x58,assist,levelR2,0xdf,,,,,,,,,,scalar,,1.5625,,%,,0,1,,,,rev.sw count 60,,
console,0x48,0x58,assist,levelR3,0xd7,,,,,,,,,,scalar,,1.5625,,%,,0,1,,,,rev.sw count 60,,
console,0x48,0x58,assist,levelR4,0xd8,,,,,,,,,,scalar,,1.5625,,%,,0,1,,,,rev.sw count 60,,
console,0x48,0x58,assist,initLevel,0xb4,,,,,,,,,,enum,,,,,,0,4,yes,,,rev.sw count 42,,
console,0x48,0x58,assist,regenEnabled,0xac,,,,,,,,,,enum,,,,,,,,,,yes,rev.sw count 55,,
console,0x48,0x58,assist,mountainCap,0xc6,,,,,,,,,,scalar,,1.5625,,%,,0,100,,,,rev.sw count 59,,Maximum set point to send to motor when in mountain mode. 0-Disabled
console,0x48,0x58,throttle,maxSpeedFlag,0x86,,,,,,,,,,enum,,,,,,0,1,yes,,,,,
console,0x48,0x58,throttle,maxSpeed,0x87 0x88,,,,,,,,,,scalar,,0.1,,km/h,,,,yes,,,,,
console,0x48,0x58,throttle,enabledOnStrain,0x8e,,,,,,,,,,enum,,,,,,0,1,yes,,,,,Allow throttle over maxSpeed if strain gauge signal detected.
console,0x48,0x58,throttle,enableBoostDisplay,0xaa,,,,,,,,,,enum,,,,,,0,1,yes,,,rev.sw count 54 rev.hw enum 15,,"Display the ""boost"" message or pictogram when it activates."
console,0x48,0x58,throttle,boostTriggerLevel,0xc3,,,,,,,,,,scalar,,1.5625,,%,,1.5,50,,,,rev.sw count 46 rev.hw enum 15,rev.hw enum 16,"Display the ""boost"" message or pictogram when it activates."
console,0x48,0x58,throttle,calibrated,0x6c,,,,,,,,,,enum,,,,,,0,1,yes,,,,,
console,0x48,0x58,throttle,position,0xd4,,,,,,,,,,scalar,,1.5625,,,,,,,,yes,rev.sw count 39,,
console,0x48,0x58,throttle,raw,0xd2 0xd3,,,,,,,,,,scalar,,,,,,,,,,yes,rev.sw count 39,,
console,0x48,0x58,throttle,min,0x7b 0x7c,,,,,,,,,,scalar,,,,,,,,yes,,,rev.sw count 39,,
console,0x48,0x58,throttle,max,0x7d 0x7e,,,,,,,,,,scalar,,,,,,,,yes,,,rev.sw count 39,,
console,0x48,0x58,preference,tripToEmptyFlag,0x8c,,,,,,,,,,enum,,,,,,0,1,yes,,,,,
console,0x48,0x58,preference,displayUnits,0x8d,,,,,,,,,,enum,,,,,,0,1,yes,,,,,"Indicates unit system to use when displaying units. 0-English, 1-Metric."
console,0x48,0x58,preference,nip,0x68 0x69 0x6a 0x6b,,,,,,,,,,string,,,,,,,,yes,,,,,
console,0x48,0x58,preference,lcdContrast,0x70,,,,,,,,,,scalar,,,,,,0,,yes,,,,,
console,0x48,0x58,preference,codes,0xb8 0xb7 0xb6 0xb5,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 42,,"0-(3771, 2005)Wheel circumference, 1-(3772)Diagnostic mode, 2-(3773)Max speed, 3-(3774)Overvoltage protection, 4-(3775)Max throttle speed, 5-(3776)Minimum assist speed, 6-(1976)Motor direction, 7-(5000)Deprecated, 8-(2001)metric vs imperial, 9-(2002)Regen value, 10-(2003)Remaining distance, 11-(2004)Clock time, 12-(2006)Brake switch config, 13-(2007)Throttle polarity, 14-(2008)Accessory voltage, 15-(0041)Slave console, 16-(1234)Filter, 17-(1970)Light sensor, 18-(0007)Gauge gain, 19-(0008)Assistance gain, 20-(0009)Gauge joint, 21-(0911)Deprecated, 22-(0001)Console info, 23-(0002)Battery info, 24-(0003)Motor info, 25-(6000)Battery statistics, 26-(0006)Speed gain, 27-Alarm, 28-Time."
console,0x48,0x58,preference,codesRw,0xbc 0xbb 0xba 0xb9,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 42,,Same bit as console.preference.codes except for: 28-Mountain mode.
console,0x48,0x58,preference,region,0xa8,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 40,,
console,0x48,0x58,preference,configBit0,0xa9,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 40,,
console,0x48,0x58,preference,flipSide,0xc4,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 45 sn.pn count 3205,rev.sw count 45 sn.pn count 3205,"Indicates on what side of the handlebar is located the console. 0-Right, 1-Left."
console,0x48,0x58,preference,flipSide,0xc4,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 46 rev.hw enum 15,rev.hw enum 15,"Indicates on what side of the handlebar is located the console. 0-Right, 1-Left."
console,0x48,0x58,preference,lightButtonMode,0xae,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 59 rev.hw enum 15,rev.hw enum 15,"Indicate the operation of console button ""light/power"". 0-Click turns bike off, hold toggles accessory; 1-Click toggle accessory, hold turns bike off."
console,0x48,0x58,preference,lightOnAtStart,0x80,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 59 rev.hw enum 15,rev.hw enum 15,"Indicate if the accessory shall be enabled when turning the bike on. 0-No, 1-Yes."
console,0x48,0x58,preference,language,0xd5 0xd6,,,,,,,,,,string,2,,,,,,,yes,,,rev.sw count 58 rev.hw enum 27,rev.hw enum 27,
console,0x48,0x58,preference,expertMode,0xaf,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 62 rev.hw enum 15,rev.hw enum 15,Add new display mode for expert mode
console,0x48,0x58,preference,throttleMode,0xbf,,,,,,,,,,enum,,,,,,,,yes,,,rev.sw count 62 rev.hw enum 15 rev.sub count 3,rev.hw enum 15,Configure the throttle for the menu change mode
console,0x48,0x58,stats,odo,0x67 0x66 0x65 0x64,0x64 0x65 0x66 0x67,,,,,0.02,,,,scalar,,0.1,,km,,,,yes,,,,,
console,0x48,0x58,stats,chronoHr,0x6f,,,,,,,,,,count,,,,h,,,,,,,,,
console,0x48,0x58,stats,chronoMin,0x6e,,,,,,,,,,count,,,,min,,,,,,,,,
console,0x48,0x58,stats,chronoSec,0x6d,,,,,,,,,,count,,,,s,,,,,,,,,
console,0x48,0x58,stats,trip,,0x50 0x51,,,,,,,,,scalar,,0.1,,km,,,,,,,rev.sw count 39,,
console,0x48,0x58,stats,avgSpeed,0x52 0x53,,,,,,,,,,scalar,,0.1,,km/h,,,,,,,rev.sw count 39,,
battery,0x50,0x58,rev,sw,,0x3c,,,,,,,,,count,,,,,,,,,,,,,
battery,0x50,0x58,rev,hw,,0x3b,,,,,,,,,enum,,,,,,,,,,,,,
battery,0x50,0x58,rev,sub,,0x18,,,,,,,,,count,,,,,,,,,,,,,
battery,0x50,0x58,rev,charger,,0x56,,,,,,bridges.chargerAddr,bridges.chargerData,,count,,,,,,,,,,,rev.sw count 91 rev.hw enum 60,,
battery,0x50,0x58,rev,supervisor,,0xa200,,,,,,bridges.i2cRegAddr,bridges.i2cRegData,,count,,,,,,,,,,,rev.sw count 91 rev.hw enum 60,,
battery,0x50,0x58,rev,bom,,0x41,,,,,,,,,enum,,,,,,,,,,,rev.sw count 107 rev.hw enum 60,,Identification of printed circuit board bill of material version. 1: All smc6.2 and SMC#6.3r1. 8: SMC#6.3r4 .
battery,0x50,0x58,sn,cellPack,0x6a 0x6b,,,,,,,,,,count,,,,,,,,,,,rev.hw enum 60 rev.sw count 108,,
battery,0x50,0x58,sn,pn,0x75 0x76,,,,,,,,,,count,,,,,,,,yes,1,,,rev.hw count 52,
battery,0x50,0x58,sn,location,0x5b,,,,,,,,,,string,1,,,,,,,yes,,,,rev.hw count 52,
battery,0x50,0x58,sn,year,0x72,,,,,,,,,,count,,,,,,,,yes,1,,,rev.hw count 52,
battery,0x50,0x58,sn,month,0x73,,,,,,,,,,count,,,,,,,,yes,1,,,rev.hw count 52,
battery,0x50,0x58,sn,day,0x74,,,,,,,,,,count,,,,,,,,yes,1,,,rev.hw count 52,
battery,0x50,0x58,sn,item,0x77 0x78,,,,,,,,,,count,,,,,,,,yes,1,,,rev.hw count 52,
battery,0x50,0x58,sn,pn,0x75 0x76,,,,,,,,,,count,,,,,,,,,,,rev.hw count 60,,
battery,0x50,0x58,sn,location,0x5b,,,,,,,,,,string,1,,,,,,,,,,rev.hw count 60,,
battery,0x50,0x58,sn,year,0x72,,,,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,sn,month,0x73,,,,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,sn,day,0x74,,,,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,sn,item,0x77 0x78,,,,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,pn,0xa09c 0xa09d,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,location,0xa0a0,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,string,1,,,,,,,,,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,year,0xa099,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,month,0xa09a,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,day,0xa09b,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
battery,0x50,0x58,pcbSn,item,0xa09e 0xa09f,,bridges.i2cRegAddr,bridges.i2cRegData,,,,,,,count,,,,,,,,,1,,rev.hw count 60,,
